airport_name,cancellation_reason,num_cancellations
"Alexandria, LA: Alexandria International","National Air System""D",1
"Allentown, PA: Lehigh Valley International","National Air System""D",1
"Allentown, PA: Lehigh Valley International","Carrier""B",1
"Aspen, CO: Aspen-Pitkin County","Carrier""B",1
"Aspen, CO: Aspen-Pitkin County","National Air System""D",1
"Augusta, GA: Augusta Regional","National Air System""D",1
"Augusta, GA: Augusta Regional","Carrier""B",1
"Beaumont, TX: Jack Brooks Regional","National Air System""D",1
"Belleville, IL: MidAmerica St. Louis","Carrier""B",1
"Bethel, AK: Bethel","Carrier""B",1
"Billings, MT: Billings Logan International","National Air System""D",1
"Bozeman, MT: Bozeman Yellowstone International","National Air System""D",1
"Branson, MO: Branson","Carrier""B",1
"Bristol, TN: Tri-Cities Regional","Carrier""B",1
"Brownsville, TX: Brownsville/South Padre Island International","Carrier""B",1
"Brownsville, TX: Brownsville/South Padre Island International","National Air System""D",1
"Cape Girardeau, MO: Cape Girardeau Regional","National Air System""D",1
"Cape Girardeau, MO: Cape Girardeau Regional","Carrier""B",1
"Cheyenne, WY: Cheyenne Regional","Carrier""B",1
"Clarksburg, WV: North Central West Virginia","National Air System""D",1
"Cordova, AK: Merle K. Smith","Carrier""B",1
"Del Rio, TX: Del Rio International","National Air System""D",1
"Devils Lake, ND: Devils Lake Regional","National Air System""D",1
"Eau Claire, WI: Chippewa Valley Regional","National Air System""D",1
"Eugene, OR: Eugene Airport","Carrier""B",1
"Fort Wayne, IN: Fort Wayne International","National Air System""D",1
"Fort Wayne, IN: Fort Wayne International","Carrier""B",1
"Grand Island, NE: Central Nebraska Regional","National Air System""D",1
"Grand Junction, CO: Grand Junction Regional","National Air System""D",1
"Great Falls, MT: Great Falls International","National Air System""D",1
"Hancock, MI: Houghton County Memorial","National Air System""D",1
"Hayden, CO: Yampa Valley","National Air System""D",1
"Hilo, HI: Hilo International","Carrier""B",1
"Huntington, WV: Tri-State/Milton J. Ferguson Field","Carrier""B",1
"Idaho Falls, ID: Idaho Falls Regional","Carrier""B",1
"Jacksonville, NC: Albert J. Ellis","Carrier""B",1
"Kalispell, MT: Glacier Park International","Carrier""B",1
"Kalispell, MT: Glacier Park International","National Air System""D",1
"Kearney, NE: Kearney Regional","National Air System""D",1
"Ketchikan, AK: Ketchikan International","Carrier""B",1
"Lake Charles, LA: Lake Charles Regional","National Air System""D",1
"Lawton, OK: Lawton-Fort Sill Regional","National Air System""D",1
"Longview, TX: East Texas Regional","National Air System""D",1
"Lynchburg, VA: Lynchburg Regional","Carrier""B",1
"Medford, OR: Rogue Valley International","Carrier""B",1
"Medford, OR: Rogue Valley International","National Air System""D",1
"Melbourne, FL: Orlando Melbourne International","National Air System""D",1
"Missoula, MT: Missoula International","National Air System""D",1
"Moab, UT: Canyonlands Field","National Air System""D",1
"Monroe, LA: Monroe Regional","Carrier""B",1
"Monroe, LA: Monroe Regional","National Air System""D",1
"Muskegon, MI: Muskegon County","National Air System""D",1
"New Bern, NC: Coastal Carolina Regional","National Air System""D",1
"New Bern, NC: Coastal Carolina Regional","Carrier""B",1
"New Haven, CT: Tweed-New Haven","National Air System""D",1
"New Haven, CT: Tweed-New Haven","Carrier""B",1
"Newport News, VA: Newport News/Williamsburg International","Carrier""B",1
"Newport News, VA: Newport News/Williamsburg International","National Air System""D",1
"Petersburg, AK: Petersburg James A. Johnson","Carrier""B",1
"Pierre, SD: Pierre Regional","National Air System""D",1
"Pueblo, CO: Pueblo Memorial","National Air System""D",1
"Redmond, OR: Redmond Municipal","Carrier""B",1
"Redmond, OR: Redmond Municipal","National Air System""D",1
"Roanoke, VA: Roanoke-Blacksburg Regional","National Air System""D",1
"Roanoke, VA: Roanoke-Blacksburg Regional","Carrier""B",1
"Rochester, MN: Rochester International","National Air System""D",1
"Rock Springs, WY: Rock Springs-Sweetwater County","National Air System""D",1
